,name
0,waymar royce
1,will
2,waymar royce
3,will
4,gared
5,royce
6,gared
7,royce
8,will
9,royce
10,royce
11,will
12,gared
13,royce
14,gared
15,jon snow
16,jon snow
17,septa mordane
18,sansa stark
19,septa mordane
20,eddard stark
21,jon snow
22,robb stark
23,jonrobb
24,cassel
25,eddard stark
26,catelyn stark
27,eddard stark
28,cassel
29,eddard stark
30,catelyn stark
31,eddard stark
32,robb stark
33,will
34,will
35,eddard stark
36,will
37,eddard stark
38,jon snow
39,eddard stark
40,jon snow
41,eddard stark
42,jon snow
43,eddard stark
44,bran stark
45,eddard stark
46,bran stark
47,eddard stark
48,bran stark
49,eddard stark
50,bran stark
51,eddard stark
52,jon snow
53,theon greyjoy
54,eddard stark
55,theon greyjoy
56,eddard stark
57,eddard stark
58,robb stark
59,jon snow
60,jon snow
61,bran stark
62,cassel
63,eddard stark
64,theon greyjoy
65,bran stark
66,robb stark
67,theon greyjoy
68,bran stark
69,eddard stark
70,jon snow
71,eddard stark
72,bran stark
73,jon snow
74,robb stark
75,theon greyjoy
76,jaime lannister
77,cersei lannister
78,jaime lannister
79,cersei lannister
80,jaime lannister
81,cersei lannister
82,jaime lannister
83,cersei lannister
84,jaime lannister
85,catelyn stark
86,eddard stark
87,catelyn stark
88,eddard stark
89,catelyn stark
90,eddard stark
91,catelyn stark
92,eddard stark
93,catelyn stark
94,eddard stark
95,catelyn stark
96,catelyn stark
97,maester luwin
98,catelyn stark
99,luwin
100,catelyn stark
101,jon snow
102,theon greyjoy
103,robb stark
104,theon greyjoy
105,robb stark
106,catelyn stark
107,bran stark
108,catelyn stark
109,bran stark
110,catelyn stark
111,bran stark
112,catelyn stark
113,bran stark
114,catelyn stark
115,catelyn stark
116,eddard stark
117,arya stark
118,eddard stark
119,robert baratheon
120,robert baratheon
121,catelyn stark
122,robert baratheon
123,eddard stark
124,arya stark
125,sansa stark
126,robert baratheon
127,arya stark
128,robert baratheon
129,arya stark
130,sansa stark
131,eddard stark
132,catelyn stark
133,robert baratheon
134,cersei lannister
135,robert baratheon
136,cersei lannister
137,eddard stark
138,robert baratheon
139,eddard stark
140,robert baratheon
141,eddard stark
142,robert baratheon
143,eddard stark
144,robert baratheon
145,tyrion lannister
146,ros
147,tyrion lannister
148,ros
149,tyrion lannister
150,ros
151,tyrion lannister
152,ros
153,tyrion lannister
154,ros
155,tyrion lannister
156,ros
157,tyrion lannister
158,tyrion lannister
159,jaime lannister
160,ros
161,tyrion lannister
162,jaime lannister
163,tyrion lannister
164,jaime lannister
165,tyrion lannister
166,jaime lannister
167,tyrion lannister
168,robert baratheon
169,eddard stark
170,robert baratheon
171,robert baratheon
172,eddard stark
173,robert baratheon
174,viserys
175,viserys
176,daenerys targaryen
177,viserys
178,daenerys targaryen
179,viserys
180,maid
181,viserys
182,illyrio
183,illyrio
184,viserys
185,illyrio
186,viserys
187,illyrio
188,viserys
189,illyrio
190,illyrio
191,viserys
192,illyrio
193,viserys
194,illyrio
195,viserys
196,illyrio
197,viserys
198,daenerys targaryen
199,viserys
200,daenerys targaryen
201,viserys
202,sansa stark
203,catelyn stark
204,sansa stark
205,sansa stark
206,catelyn stark
207,sansa stark
208,catelyn stark
209,sansa stark
210,catelyn stark
211,sansa stark
212,benjen
213,jon snow
214,benjen
215,jon snow
216,benjen
217,jon snow
218,benjen
219,jon snow
220,benjen
221,jon snow
222,benjen
223,jon snow
224,benjen
225,tyrion lannister
226,jon snow
227,tyrion lannister
228,jon snow
229,tyrion lannister
230,tyrion lannister
231,jon snow
232,tyrion lannister
233,jon snow
234,tyrion lannister
235,benjen
236,eddard stark
237,benjen
238,eddard stark
239,benjen
240,eddard stark
241,benjen
242,eddard stark
243,robb stark
244,benjen
245,robb stark
246,catelyn stark
247,cersei lannister
248,catelyn stark
249,cersei lannister
250,sansa stark
251,cersei lannister
252,sansa stark
253,cersei lannister
254,sansa stark
255,cersei lannister
256,cersei lannister
257,cersei lannister
258,catelyn stark
259,cersei lannister
260,eddard stark
261,jaime lannister
262,eddard stark
263,jaime lannister
264,eddard stark
265,jaime lannister
266,eddard stark
267,jaime lannister
268,sansa stark
269,robb stark
270,eddard stark
271,catelyn stark
272,eddard stark
273,catelyn stark
274,eddard stark
275,catelyn stark
